Date,Open,High,Low,Close,Volume
2025-06-20,6110.75,6121.25,6055.0,6068.25,321
2025-06-23,6073.25,6131.5,6043.75,6127.0,357
2025-06-24,6167.25,6206.0,6162.0,6197.25,221
2025-06-25,6205.0,6210.0,6189.5,6197.75,181
2025-06-26,6216.25,6250.0,6210.25,6245.75,301
2025-06-27,6254.5,6288.5,6234.5,6275.25,391
2025-06-30,6290.5,6316.0,6282.0,6305.25,261
2025-07-01,6286.0,6312.0,6280.25,6300.0,153
2025-07-02,6296.5,6329.75,6290.0,6326.5,233
2025-07-03,6347.75,6386.0,6347.75,6378.0,252
2025-07-07,6360.5,6361.75,6299.75,6329.25,263
2025-07-08,6331.75,6341.25,6318.75,6325.5,174
2025-07-09,6353.25,6365.5,6330.5,6360.75,207
2025-07-10,6361.5,6388.25,6349.5,6378.0,157
2025-07-11,6346.5,6366.0,6333.0,6353.75,200
2025-07-14,6347.0,6368.0,6334.5,6365.0,220
2025-07-15,6394.0,6394.0,6326.0,6338.5,339
2025-07-16,6354.75,6362.75,6297.0,6357.5,409
2025-07-17,6359.5,6401.25,6359.5,6395.25,287
2025-07-18,6404.25,6407.25,6379.0,6389.25,255
2025-07-21,6402.0,6428.0,6398.5,6399.5,227
2025-07-22,6399.5,6406.0,6374.75,6401.5,222
2025-07-23,6422.5,6462.0,6409.5,6451.75,306
2025-07-24,6455.25,6471.5,6452.5,6457.5,210
2025-07-25,6460.5,6486.5,6459.25,6481.0,202
2025-07-28,6485.0,6489.0,6464.75,6478.75,280
2025-07-29,6494.25,6494.75,6452.5,6461.5,401
2025-07-30,6465.25,6493.0,6424.5,6452.75,517
2025-07-31,6502.75,6508.0,6415.0,6431.0,687
2025-08-01,6359.0,6361.0,6295.0,6317.0,1101
2025-08-04,6357.25,6420.5,6356.75,6409.5,312
2025-08-05,6413.5,6425.5,6369.0,6378.5,551
2025-08-06,6389.75,6432.75,6380.75,6425.0,332
2025-08-07,6457.25,6468.5,6390.0,6420.25,589
2025-08-08,6439.5,6480.0,6434.5,6468.0,430
2025-08-11,6468.25,6485.25,6443.0,6454.25,387
2025-08-12,6477.25,6523.5,6464.0,6523.0,412
2025-08-13,6541.25,6556.0,6521.75,6543.0,446
2025-08-14,6522.75,6551.0,6520.75,6545.5,514
2025-08-15,6547.75,6547.75,6517.5,6526.5,447
2025-08-18,6526.0,6529.5,6514.0,6524.5,488
2025-08-19,6522.0,6531.25,6476.0,6487.25,689
2025-08-20,6483.25,6484.5,6417.25,6468.25,1251
2025-08-21,6444.5,6467.0,6425.75,6443.5,862
2025-08-22,6463.5,6551.0,6458.75,6539.0,1468
2025-08-25,6522.0,6537.75,6509.5,6511.25,355
2025-08-26,6505.5,6543.0,6500.5,6538.5,714
2025-08-27,6533.25,6562.0,6516.0,6552.0,1122
2025-08-28,6555.5,6579.0,6537.75,6574.0,763
2025-08-29,6557.75,6557.75,6512.25,6528.5,1005
2025-09-02,6453.25,6503.25,6427.0,6480.75,2041
2025-09-03,6504.0,6519.5,6482.25,6512.75,1593
2025-09-04,6523.25,6572.25,6512.5,6566.75,3188
2025-09-05,6588.75,6596.5,6506.5,6544.5,4074
2025-09-08,6559.0,6570.75,6544.75,6560.5,4178
2025-09-09,6562.0,6591.0,6543.75,6576.5,4550
2025-09-10,6608.25,6618.5,6577.25,6594.5,13538
2025-09-11,6612.5,6654.75,6606.5,6647.5,20691
2025-09-12,6645.0,6662.75,6639.25,6645.0,81226
2025-09-15,6666.5,6681.25,6663.25,6679.25,621252
2025-09-16,6684.75,6688.25,6661.25,6667.5,845048
2025-09-17,6669.0,6686.5,6611.0,6658.75,1286805
2025-09-18,6686.75,6718.0,6670.25,6693.5,1092361
2025-09-19,6707.25,6731.5,6687.25,6722.5,1054918
2025-09-22,6706.0,6756.75,6705.75,6752.5,881175
2025-09-23,6750.25,6756.5,6701.75,6715.0,1096485
2025-09-24,6727.25,6728.5,6678.0,6692.25,1072814
2025-09-25,6660.0,6675.0,6624.25,6659.75,1440581
2025-09-26,6673.5,6703.75,6657.25,6696.5,1093048
2025-09-29,6722.25,6731.25,6696.25,6713.5,979471
2025-09-30,6706.75,6743.5,6693.0,6738.75,1292254
2025-10-01,6706.75,6769.5,6705.25,6761.5,1018709
2025-10-02,6779.0,6780.25,6741.5,6766.75,986357
2025-10-03,6772.0,6800.0,6754.0,6764.0,1188267
2025-10-06,6788.75,6797.75,6766.5,6788.75,873924
2025-10-07,6797.25,6801.75,6747.25,6761.5,1235006
2025-10-08,6773.25,6807.75,6764.5,6801.25,867723
2025-10-09,6805.5,6809.5,6760.75,6779.25,1181414
2025-10-10,6788.0,6806.5,6540.25,6595.25,2311972
2025-10-13,6670.25,6711.5,6661.75,6694.75,1289924
2025-10-14,6633.75,6722.5,6593.25,6686.5,1691813
2025-10-15,6731.75,6766.75,6651.5,6715.0,1735356
2025-10-16,6731.5,6750.5,6632.0,6668.75,1969696
2025-10-17,6654.75,6718.0,6640.5,6702.5,1497350
2025-10-20,6733.25,6783.0,6733.0,6773.75,956252
2025-10-21,6774.0,6789.75,6759.25,6773.25,1103602
2025-10-22,6779.0,6779.25,6690.75,6737.0,1691286
2025-10-23,6739.25,6785.75,6736.0,6775.0,1137746
2025-10-24,6820.75,6841.25,6812.5,6827.0,1008750
2025-10-27,6883.0,6916.25,6877.0,6908.25,943320
2025-10-28,6925.75,6944.75,6903.0,6925.75,1004419
2025-10-29,6942.0,6952.0,6882.25,6922.75,1318150
2025-10-30,6893.0,6913.75,6851.0,6855.5,1442335
2025-10-31,6902.0,6902.5,6843.5,6874.0,1491737
2025-11-03,6908.25,6909.5,6849.5,6882.75,1121263
2025-11-04,6810.25,6849.25,6794.75,6801.75,1305661
2025-11-05,6798.5,6857.75,6789.75,6825.25,1110447
2025-11-06,6812.25,6821.5,6733.5,6747.5,1583091
2025-11-07,6723.5,6765.75,6655.5,6753.75,1749551
2025-11-10,6815.75,6865.75,6792.75,6856.75,1293748
2025-11-11,6842.5,6880.0,6830.5,6871.5,1145211
2025-11-12,6891.25,6892.75,6852.0,6875.75,1190502
2025-11-13,6847.5,6850.5,6746.0,6760.0,1785508
2025-11-14,6692.0,6795.5,6670.5,6755.25,1659653
2025-11-17,6734.25,6774.75,6658.5,6692.0,1603850
2025-11-18,6657.0,6687.5,6594.0,6639.75,2126070
2025-11-19,6642.5,6709.0,6622.0,6661.5,1716926
2025-11-20,6764.75,6791.25,6550.5,6557.5,2590981
2025-11-21,6581.5,6677.5,6539.0,6620.25,2032762
2025-11-24,6658.0,6731.75,6646.75,6721.25,1325248
2025-11-25,6716.5,6792.5,6674.5,6781.5,1379219
2025-11-26,6805.0,6846.75,6795.75,6828.0,1203754
2025-11-28,6834.25,6863.75,6831.25,6859.5,300011
2025-12-01,6813.5,6855.75,6812.75,6826.75,1179883
2025-12-02,6844.0,6863.5,6818.0,6840.25,1254707
2025-12-03,6829.25,6873.25,6820.25,6862.0,1050119
2025-12-04,6876.25,6876.75,6836.25,6866.75,1137510
2025-12-05,6875.25,6905.0,6866.5,6878.25,1123878
2025-12-08,6885.75,6886.25,6835.25,6855.75,1033763
2025-12-09,6850.5,6872.75,6844.0,6848.25,788820
2025-12-10,6843.5,6908.0,6830.75,6891.75,1200440
2025-12-11,6868.25,6928.75,6838.0,6907.25,1274726
2025-12-12,6896.25,6903.0,6805.0,6830.75,1645103
2025-12-15,6871.0,6871.75,6806.25,6823.0,500708
